Sensor 1;Sensor 2;Sensor 3;Sensor 4;Sensor 5;Sensor 6;Sensor 7;Sensor 8;Resultado
-9;-5;-11;33;18;-4;-7;-7;1
12;22;18;34;0;1;17;13;1
4;3;6;19;21;16;8;5;1
3;-8;9;2;3;-2;1;5;1
3;6;2;-4;4;9;15;12;1
-10;-9;-12;-47;-18;-8;-11;-10;1
-3;-2;-5;-43;-18;-18;-16;-11;1
-9;-8;-22;-50;-15;-18;-6;-7;1
-7;-13;-32;-44;8;26;0;-7;1
-18;-21;-31;-98;-32;-29;-22;-20;1
-2;-1;-5;2;-3;-5;0;-1;1
4;7;-1;2;-6;-6;2;0;1
-3;-3;-28;-33;-11;-22;-11;-7;1
-9;-10;12;5;25;36;-1;2;1
4;-18;0;-18;-13;-11;-3;6;1
3;2;3;-10;-28;-11;-2;-2;1
-3;4;-7;-2;-4;9;1;-2;1
1;0;46;43;30;-10;4;3;1
2;9;9;1;-17;-2;-2;1;1
-4;0;1;8;-12;-14;-10;-10;1
-14;-19;-23;-63;-28;-7;-19;-15;1
11;8;-17;2;-21;-21;-8;2;1
1;5;-11;-12;-16;-10;-8;-8;1
7;4;-10;5;22;33;17;11;1
-6;-5;-28;-56;1;10;3;-5;1
5;4;2;13;4;18;15;10;1
-11;-11;-3;-33;-18;-28;-17;-12;1
22;37;77;127;24;15;17;18;1
0;0;37;30;13;13;4;6;1
-6;-14;-33;-57;-7;-27;-1;-4;1
-16;-20;5;-19;-4;6;0;-8;1
1;-10;-8;-9;12;-13;-11;-5;1
6;11;-9;14;5;10;6;4;1
16;19;-3;-6;-9;19;9;11;1
3;-11;-18;3;18;22;4;3;1
3;13;42;58;0;-6;-2;-3;1
-1;-8;4;-13;11;17;-5;-2;1
-4;-3;28;42;-15;-17;1;-5;1
-8;-17;-15;-55;-23;-11;-9;-6;1
13;5;-1;42;12;14;11;8;1
1;6;26;11;-11;-23;-3;-5;1
-8;-13;-31;-15;14;31;9;-1;1
-5;-13;-4;-18;1;10;-2;-5;1
5;-3;8;-28;-30;-18;-6;1;1
17;27;9;65;32;25;19;16;1
-17;-18;-21;-44;-13;-38;-24;-15;1
19;16;24;64;32;50;17;18;1
-6;-11;-5;-9;-20;-26;-9;-9;1
4;3;-8;-3;26;-4;-3;-3;1
-13;-27;4;-35;-24;-6;-7;-11;1
-3;-3;-19;29;25;-6;2;-2;1
12;19;-2;16;20;25;11;7;1
15;11;21;34;-9;-17;6;13;1
-6;-3;-14;9;8;-16;-5;-4;1
-5;-1;-25;-16;-22;-14;-1;-2;1
4;2;1;-5;-10;14;7;6;1
-34;-40;0;-57;-31;-29;-28;-32;1
8;3;-9;-1;-11;-6;-6;6;1
-1;-12;-24;-3;11;34;14;-2;1
-7;-3;-13;-40;-19;27;-16;-16;1
9;3;-4;3;1;-16;4;10;1
-22;3;-3;-5;3;-1;4;-16;1
-1;-5;-13;-21;15;-19;-15;-8;1
4;6;6;11;30;35;11;8;1
4;17;10;15;20;31;13;5;1
-1;-3;-3;-37;-8;-15;-10;-4;1
1;-11;-22;-20;-4;11;-2;1;1
14;4;-3;1;5;6;7;8;1
8;13;22;11;-6;19;-2;6;1
18;-4;-31;-29;-23;-39;-7;19;1
-9;-1;5;-6;5;22;0;-7;1
-1;-5;-4;3;-17;2;0;1;1
-14;-20;-22;-33;-39;-30;-19;-22;1
-9;-10;-5;1;10;-20;-8;-8;1
-8;-7;-36;-13;9;-11;-6;-4;1
2;5;-71;9;25;2;2;3;1
-12;-13;-20;-20;-53;-13;-9;-12;1
-2;-1;39;-13;4;-11;-6;-4;1
-1;0;-10;-2;17;4;3;-1;0
1;-5;-12;0;7;-9;-2;8;0
-3;-3;10;12;4;7;-1;-4;0
-6;-3;-2;-12;20;-7;-2;-2;0
-1;1;1;5;7;1;1;2;0
-1;-1;-1;0;3;-2;-2;-4;0
-2;-2;2;-11;-7;0;-1;-1;0
-2;0;-1;2;13;1;-1;-1;0
-11;-9;1;-14;11;-4;-2;-1;0
0;-5;-11;3;-4;-2;-3;0;0
1;5;8;3;5;1;-1;0;0
2;3;5;2;1;-1;-1;-2;0
-1;-3;1;15;4;2;2;-1;0
4;0;2;4;-3;1;-1;1;0
-6;-7;8;0;-11;-9;-6;-2;0
-3;-4;3;8;6;-2;-1;-1;0
3;3;1;7;3;5;4;3;0
2;1;3;-4;2;2;0;1;0
1;3;-6;1;1;2;2;2;0
-1;1;-8;-6;-7;-3;1;-1;0
-3;-3;2;-1;2;0;-1;-3;0
0;-3;3;1;-1;-1;-1;1;0
3;3;2;2;1;4;-1;-1;0
-1;-1;7;1;-1;-3;-4;-3;0
2;1;3;2;12;4;0;1;0
0;2;2;1;5;3;1;1;0
-1;-2;-6;-8;0;1;-2;-2;0
-2;-3;1;-1;-1;-4;-3;-1;0
-2;0;-4;-7;-6;-6;-3;-2;0
-1;0;0;5;-2;0;-1;-1;0
-1;-1;1;-2;-4;-1;-2;-1;0
-8;-9;3;-7;-3;-3;-3;-4;0
0;0;-1;2;0;1;0;-1;0
-2;-1;-4;-4;-5;-3;-2;1;0
2;-1;-7;6;4;5;0;0;0
0;-2;5;1;2;-1;-2;-3;0
2;2;-1;-1;-1;-1;-1;-1;0
-1;1;-3;6;2;-1;1;2;0
2;-1;0;-4;3;2;0;0;0
-1;-2;1;-2;-3;0;-3;-1;0
-3;-3;-2;-1;0;0;-2;-1;0
-2;-1;-2;0;1;-2;2;-1;0
-2;-3;-6;-8;-1;-3;-3;-1;0
2;2;-6;3;-1;1;1;1;0
-1;-5;-4;-3;3;2;1;-1;0
-3;-1;-2;2;0;0;-2;-3;0
3;0;1;7;8;6;6;7;0
-1;0;0;-4;-8;-7;-3;0;0
-1;-1;3;2;-1;-1;-2;-1;0
-2;0;-1;-2;0;-2;-2;-2;0
-3;-1;-3;-4;-2;-3;-1;-3;0
-4;-1;5;-4;-6;-6;-2;-5;0
1;-2;-1;1;2;3;2;2;0
-2;-2;1;0;-2;-4;-1;-1;0
-4;-1;4;2;-1;-3;-2;-2;0
0;-1;-5;-3;0;2;0;-1;0
-4;-3;-1;-5;-4;-2;-3;-5;0
-2;0;2;3;-1;-1;-1;-3;0
-1;-1;4;-3;0;2;0;0;0
0;-1;-3;-1;-2;-3;-3;-1;0
-1;-3;0;0;-5;-4;-2;-3;0
2;-1;-3;0;3;1;-1;0;0
-1;-1;-8;-2;-2;0;-3;-1;0
-4;0;-5;-5;-5;-5;-4;-4;0
-2;-1;-2;-5;-4;-2;-2;-3;0
-5;-8;-8;-9;-2;-4;-2;-5;0
-2;0;10;10;3;0;-2;0;0
-3;-1;3;-13;-10;-2;-3;-3;0
1;-4;-6;2;4;0;1;0;0
-2;4;14;23;5;3;1;-2;1
3;6;4;13;1;0;3;3;1
-2;-4;8;-4;-7;2;-2;1;1
6;6;19;46;11;5;1;2;1
-10;-6;-4;-26;-8;0;0;-6;1
4;1;2;-23;-15;-7;3;5;1
1;-1;-18;-18;-7;2;1;-2;1
-3;-7;-10;-31;-15;-11;-6;-8;1
2;3;1;-10;-3;-1;-7;-7;1
-2;-6;-23;-34;-8;3;1;0;1
5;18;-2;42;22;18;7;7;1
-17;-16;-4;-21;-19;-19;-17;-18;1
-1;5;13;-1;-3;-9;-11;-8;1
-1;-6;-18;-19;2;-1;-1;0;1
9;14;28;39;10;27;11;8;1
1;-8;13;7;-2;1;-1;6;1
-12;-11;2;9;3;-7;1;-2;1
6;-1;2;14;-3;-2;9;7;1
2;-3;17;-21;-26;-13;-10;-2;1
-3;-9;-8;-4;13;14;2;-5;1
-5;-4;-4;-3;23;36;18;6;1
-20;-35;-17;-67;-36;-31;-19;-10;1
-8;4;-5;-4;-5;-4;-4;-3;1
-12;-17;-20;-46;-9;26;3;-8;1
4;7;38;50;5;-16;-1;3;1
-8;-8;-3;-38;-17;0;-6;-14;1
0;-11;15;21;-4;-16;-3;2;1
-8;-21;11;-14;-18;-13;-7;-3;1
1;3;-10;-4;14;-2;-3;1;1
2;0;-23;-12;-5;-5;4;-2;1
-4;-4;-17;1;13;27;11;6;1
21;24;1;23;11;-15;2;15;1
-1;7;10;8;-7;-25;-9;-8;1
-8;-7;36;51;3;-12;-8;-2;1
12;15;-12;48;44;52;37;20;1
10;3;-9;-24;-12;6;-1;4;1
7;8;-10;6;-18;-47;-19;-5;1
13;24;40;95;14;-12;-4;10;1
-9;-7;-22;-57;4;35;-6;-5;1
5;3;21;50;6;29;21;10;1
11;15;-17;51;18;-22;8;14;1
-23;-9;5;-22;-17;-27;-20;-23;1
-7;-11;-12;-15;6;8;-8;-5;1
-8;-8;-3;-15;-4;-33;-22;-20;1
-6;-9;11;-2;5;46;8;-1;1
0;-8;-1;-6;-19;-20;-1;-3;1
1;1;15;57;17;-16;-2;5;1
-3;8;10;-4;-15;0;11;-2;1
-4;-18;-22;-55;-23;-38;-14;-10;1
15;9;21;34;-1;-7;6;17;1
-13;-18;7;-11;-3;10;-14;-16;1
2;-3;-4;-21;1;18;2;0;1
13;4;-2;-11;-21;-25;2;8;1
-9;-6;-19;-14;8;10;9;3;1
10;13;33;63;7;6;11;11;1
-5;0;-11;-6;-8;-34;-17;-8;1
-13;-10;-23;-15;4;-4;-5;-9;1
5;4;-8;-32;-8;-1;-6;0;1
-5;-2;12;-11;-4;3;-4;-4;1
-6;-8;7;14;11;0;-2;-4;1
-7;-7;11;21;12;-15;-7;-7;1
-19;-30;-7;-57;-19;-15;-12;-15;1
2;8;-5;17;11;14;3;0;1
-3;-8;-27;-16;12;26;12;-2;1
-5;-6;5;-22;-28;-26;-8;-7;1
-1;4;14;2;7;-14;-16;-12;1
-6;-6;-10;4;-1;7;-14;-10;1
18;10;10;6;-13;13;11;17;1
-1;-15;17;-9;-12;-15;0;3;1
10;7;-11;8;21;25;11;16;1
1;-14;10;2;-6;-14;-7;1;1
-5;2;-20;-7;10;13;1;-5;1
-10;-13;-35;-30;1;-13;-11;-10;1
-6;0;-12;-22;0;28;7;-1;1
16;6;30;66;26;35;19;25;1
